Designator,Mid X,Mid Y,Rotation,Layer
C1,83.4,-47.192853,270.0,top
C2,72.457709,-47.692853,270.0,top
C3,62.5,-38.5,180.0,top
C4,62.45,-32.5,180.0,top
C5,62.5,-30.5,180.0,top
C8,83.368855,-43.5,270.0,top
C9,85.429236,-43.5,270.0,top
D1,90.4,-42.7375,90.0,top
J1,95.9895,-38.18,90.0,top
J2,91.04,-47.5,180.0,top
J3,91.46,-31.0,180.0,top
R1,85.4125,-39.0,180.0,top
R2,85.430425,-36.355611,180.0,top
R3,88.4,-42.7125,90.0,top
R4,62.5,-36.5,0.0,top
R5,62.5,-34.5,180.0,top
R6,62.5,-40.5,180.0,top
R7,79.984286,-36.725,0.0,top
R8,79.984286,-38.725,0.0,top
SW1,62.7,-43.3,180.0,top
SW2,68.558974,-43.304861,180.0,top
U1,77.95,-47.9,0.0,top
U2,89.5,-37.748503,90.0,top
U3,71.2,-34.9805,0.0,top
U4,76.8625,-42.45,90.0,top
